ID,school_name,city,address,latitude,longitude,percent_eligible_frpm_k12
43693696046122,Ben Painter Elementary,San Jose,500 Rough and Ready Road,37.37495,-121.84331,0.519
43693696046213,Linda Vista Elementary,San Jose,100 Kirk Avenue,37.376934,-121.82372,0.682
43693696046221,Lyndale Elementary,San Jose,13901 Nordyke Drive,37.359746,-121.82492,0.8290000000000001
43693696046247,Aptitud Community Academy at Goss,San Jose,2475 Van Winkle Lane,37.34995,-121.8314,0.8909999999999999
43693696046254,Millard McCollam Elementary,San Jose,3311 Lucian Avenue,37.380472,-121.83312,0.535
43693696046270,O. S. Hubbard Elementary,San Jose,1680 Foley Avenue,37.330237,-121.83946,0.85
43693696046304,San Antonio Elementary,San Jose,1721 East San Antonio Street,37.350025,-121.85234,0.917
43693696046320,Thomas P. Ryan Elementary,San Jose,1241 McGinness Avenue,37.350062,-121.82257,0.838
43693696046338,William Sheppard Middle,San Jose,480 Rough and Ready Road,37.37451,-121.843,0.7140000000000001
43693696089270,Ocala Middle,San Jose,2800 Ocala Avenue,37.340385,-121.82046,0.7929999999999999
43693776046379,Noble Elementary,San Jose,3466 Grossmont Drive,37.396302,-121.8391,0.235
43693776046387,Northwood Elementary,San Jose,2760 East Trimble Road,37.40946,-121.88134,0.133
43693776046395,Piedmont Middle,San Jose,955 Piedmont Road,37.390727,-121.84264,0.34
43693776067177,Ruskin Elementary,San Jose,1401 Turlock Lane,37.400282,-121.85589,0.155
43693776068928,Morrill Middle,San Jose,1970 Morrill Avenue,37.410219,-121.87111,0.349
43693776093033,Sierramont Middle,San Jose,3155 Kimlee Drive,37.403132,-121.85593,0.248
43693776093041,Vinci Park Elementary,San Jose,1311 Vinci Park Way,37.380943,-121.87333,0.312
43693776095335,Brooktree Elementary,San Jose,1781 Olivetree Drive,37.398513,-121.88005,0.406
43693776095343,Majestic Way Elementary,San Jose,1855 Majestic Way,37.410648,-121.85723,0.299
43693776095350,Summerdale Elementary,San Jose,1100 Summerdale Drive,37.389589,-121.85196,0.38299999999999995
43693850133439,Steindorf STEAM K-8 Magnet,San Jose,3001 Ross Avenue,37.266653,-121.92053,0.047
43693856046411,Bagby Elementary,San Jose,1840 Harris Avenue,37.278715,-121.92193,0.149
43693936046676,Rosemary,Campbell,401 West Hamilton Avenue,37.294331,-121.95694,0.738
43694014330239,Leigh High,San Jose,5210 Leigh Avenue,37.24331,-121.92258,0.18
43694014330866,Branham High,San Jose,1570 Branham Lane,37.254576,-121.89957,0.314
43694014331955,Del Mar High,San Jose,1224 Del Mar Avenue,37.303262,-121.9303,0.696
43694014336137,Prospect High,Saratoga,18900 Prospect Road,37.292868,-122.00238,0.49200000000000005
43694014338505,Westmont High,Campbell,4805 Westmont Avenue,37.270126,-121.98595,0.42
